id,trace,ts,bot_name,venue,size,ob_price,exec_price,lat_order,status,payload,resp,reason,direction
14810,5a3ec19500594a8c8a580c5502aa7c72,2025-12-15 16:51:21.545227+00,TT:MEGA:MEGA-USD,E,47,0.28772,0.29922879999999996,14.95915895793587,OK,"{'price': Decimal('0.29922'), 'qty': Decimal('47'), 'side': 'BUY'}","status='OK' data=PlacedOrderModel(id=2000609636596772864, external_id='1613480009715340102571970390893786796047917245534437389363901811444149089694') error=None pagination=None",TT_EL,exit
14811,5a3ec19500594a8c8a580c5502aa7c72,2025-12-15 16:51:21.545227+00,TT:MEGA:MEGA-USD,L,-47,0.28679,0.27531839999999996,13.915735995396972,OK,"{'price': 27531, 'size': 470, 'is_ask': True}","{""AccountIndex"":281474976649142,""ApiKeyIndex"":2,""MarketIndex"":94,""ClientOrderIndex"":1765817481547,""BaseAmount"":470,""Price"":27531,""IsAsk"":1,""Type"":0,""TimeInForce"":1,""ReduceOnly"":0,""TriggerPrice"":0,""OrderExpiry"":1768236681548,""ExpiredAt"":1765818080548,""Nonce"":39942,""Sig"":""B4BhbQdM+xbWCeBpJ9/CtcLpleU7iaT62sy6mmX+5lJXcDuMhxVqZxgXCT9HqO6gfykQPD48/khNlgfAk4yX9nGm7V64kjVm20kJrap5RR4=""}",TT_EL,exit
14808,f896ea5536da4173882abdd4e5810840,2025-12-15 16:51:21.079732+00,TT:MEGA:MEGA-USD,E,53,0.28772,0.29922879999999996,14.30262892972678,OK,"{'price': Decimal('0.29922'), 'qty': Decimal('53'), 'side': 'BUY'}","status='OK' data=PlacedOrderModel(id=2000609634646638592, external_id='3187782975937600056033519526516922906311938310215917475616766558707272524088') error=None pagination=None",TT_EL,exit
14809,f896ea5536da4173882abdd4e5810840,2025-12-15 16:51:21.079732+00,TT:MEGA:MEGA-USD,L,-53,0.28679,0.27531839999999996,13.091792003251612,OK,"{'price': 27531, 'size': 530, 'is_ask': True}","{""AccountIndex"":281474976649142,""ApiKeyIndex"":2,""MarketIndex"":94,""ClientOrderIndex"":1765817481081,""BaseAmount"":530,""Price"":27531,""IsAsk"":1,""Type"":0,""TimeInForce"":1,""ReduceOnly"":0,""TriggerPrice"":0,""OrderExpiry"":1768236681082,""ExpiredAt"":1765818080082,""Nonce"":39941,""Sig"":""7bAO+GkocZHqH3B6O6K+RfuWlLBd0rMKNspCyJxiyKOJBNdtW28uQLV+ELf+mZ0ZnYvgKUC5iIdaajFF+H1govXV8Mf1v1VphLrMH5BZJRU=""}",TT_EL,exit
14806,696b894c0a6a408794408ba6266e6c59,2025-12-15 16:51:17.643626+00,TT:MEGA:MEGA-USD,E,53,0.28772,0.29922879999999996,12.929289950989187,OK,"{'price': Decimal('0.29922'), 'qty': Decimal('53'), 'side': 'BUY'}","status='OK' data=PlacedOrderModel(id=2000609620235001856, external_id='119285364121146737439164494152107871840650346931498363223797832947763556901') error=None pagination=None",TT_EL,exit
14807,696b894c0a6a408794408ba6266e6c59,2025-12-15 16:51:17.643626+00,TT:MEGA:MEGA-USD,L,-53,0.28679,0.27531839999999996,12.134918943047523,OK,"{'price': 27531, 'size': 530, 'is_ask': True}","{""AccountIndex"":281474976649142,""ApiKeyIndex"":2,""MarketIndex"":94,""ClientOrderIndex"":1765817477645,""BaseAmount"":530,""Price"":27531,""IsAsk"":1,""Type"":0,""TimeInForce"":1,""ReduceOnly"":0,""TriggerPrice"":0,""OrderExpiry"":1768236677646,""ExpiredAt"":1765818076646,""Nonce"":39940,""Sig"":""gs2EJFwMTlrnGS2BA2w8aCPmzJv7pl87zkm8mqDs9Hz2JPAH3XkCeiKVqO3pPE5Z03Ko78h63mF9FXhf4cmVaExPhk+nn4ZzsJnoUUad02A=""}",TT_EL,exit
14804,dcddac0065b448fdbdf294b5fa4dfcac,2025-12-15 16:50:30.786327+00,TT:MEGA:MEGA-USD,E,153,0.28743,0.2989272,10.277879075147212,OK,"{'price': Decimal('0.29892'), 'qty': Decimal('153'), 'side': 'BUY'}","status='OK' data=PlacedOrderModel(id=2000609423706214400, external_id='510542426717226917327361976242981496432315993848081943247545492439462116143') error=None pagination=None",TT_EL,exit
14805,dcddac0065b448fdbdf294b5fa4dfcac,2025-12-15 16:50:30.786327+00,TT:MEGA:MEGA-USD,L,-153,0.28657,0.2751072,75.19833208061755,OK,"{'price': 27510, 'size': 1530, 'is_ask': True}","{""AccountIndex"":281474976649142,""ApiKeyIndex"":2,""MarketIndex"":94,""ClientOrderIndex"":1765817430788,""BaseAmount"":1530,""Price"":27510,""IsAsk"":1,""Type"":0,""TimeInForce"":1,""ReduceOnly"":0,""TriggerPrice"":0,""OrderExpiry"":1768236630847,""ExpiredAt"":1765818029847,""Nonce"":39939,""Sig"":""v4Du58Wx75NPV8dsLgTDxYhmR05SRtTelwxltqhAzEiTyMDAg0ycW8c1lc+13tdHmUg3NyLqOatq5y997jiM1h2z/dlCNJPccvu2q/FLvU4=""}",TT_EL,exit
14803,82aff0f0b9dd47ef918219dc1aeda7a9,2025-12-15 16:50:04.606281+00,TT:MEGA:MEGA-USD,L,-150,0.28701,0.2755296,13.262118096463382,OK,"{'price': 27552, 'size': 1500, 'is_ask': True}","{""AccountIndex"":281474976649142,""ApiKeyIndex"":2,""MarketIndex"":94,""ClientOrderIndex"":1765817404608,""BaseAmount"":1500,""Price"":27552,""IsAsk"":1,""Type"":0,""TimeInForce"":1,""ReduceOnly"":0,""TriggerPrice"":0,""OrderExpiry"":1768236604609,""ExpiredAt"":1765818003609,""Nonce"":39938,""Sig"":""/SokkAqu0QCMChgLgZb47KVdd2tRHgnqNiIejJgtaWwkYfhZaPDwegdndDEgtm5Kz8HgKzUqiVFSygSOP2c9us+1P9CCCXmjXjjMj4tXiVg=""}",TT_EL,exit
14802,82aff0f0b9dd47ef918219dc1aeda7a9,2025-12-15 16:50:04.606281+00,TT:MEGA:MEGA-USD,E,150,0.28782,0.2993328,16.842134995386004,OK,"{'price': Decimal('0.29933'), 'qty': Decimal('1.5E+2'), 'side': 'BUY'}","status='OK' data=PlacedOrderModel(id=2000609313925021696, external_id='1148037416479402352130326681969549735668713944951050630435232149439178637432') error=None pagination=None",TT_EL,exit
